uid,idx,u,name,Vn,vmax,vmin,v0,a0,xcoord,ycoord,area,zone,owner
0,1,1.0,BUS1,69.0,1.1,0.9,1.03,0.0,0,0,1,1,1
1,2,1.0,BUS2,69.0,1.1,0.9,1.0197,-0.02798111856797309,0,0,1,1,1
2,3,1.0,BUS3,69.0,1.1,0.9,1.00042,-0.06009692213392075,0,0,1,1,1
3,4,1.0,BUS4,69.0,1.1,0.9,0.99858,-0.07472103593638124,0,0,1,1,1
4,5,1.0,BUS5,69.0,1.1,0.9,1.00443,-0.06431538293599104,0,0,1,1,1
5,6,1.0,BUS6,138.0,1.1,0.9,0.99871,-0.10999763077769062,0,0,2,2,2
6,7,1.0,BUS7,138.0,1.1,0.9,1.00682,-0.08428544023731016,0,0,2,2,2
7,8,1.0,BUS8,69.0,1.1,0.9,1.01895,-0.024338616419060925,0,0,2,2,2
8,9,1.0,BUS9,138.0,1.1,0.9,1.00193,-0.12750153784594176,0,0,2,2,2
9,10,1.0,BUS10,138.0,1.1,0.9,0.99351,-0.130201562198777,0,0,2,2,2
10,11,1.0,BUS11,138.0,1.1,0.9,0.99245,-0.12294797382748855,0,0,2,2,2
11,12,1.0,BUS12,138.0,1.1,0.9,0.98639,-0.1289344531618291,0,0,2,2,2
12,13,1.0,BUS13,138.0,1.1,0.9,0.98403,-0.13378646848237333,0,0,2,2,2
13,14,1.0,BUS14,138.0,1.1,0.9,0.99063,-0.1669163083437297,0,0,2,2,2
