Line_Info,Result,Iterations
"(26, 28)",LOCALLY_SOLVED,-1
"(23, 24)",LOCALLY_SOLVED,-1
"(1, 2)",LOCALLY_SOLVED,-1
"(1, 39)",LOCALLY_SOLVED,-1
"(21, 22)",LOCALLY_SOLVED,-1
"(26, 29)",LOCALLY_SOLVED,-1
"(22, 23)",LOCALLY_SOLVED,-1
"(17, 27)",LOCALLY_SOLVED,-1
"(5, 8)",LOCALLY_SOLVED,-1
"(16, 24)",LOCALLY_SOLVED,-1
"(17, 18)",LOCALLY_SOLVED,-1
"(16, 21)",LOCALLY_SOLVED,-1
"(3, 4)",LOCALLY_SOLVED,-1
"(26, 27)",LOCALLY_SOLVED,-1
"(28, 29)",LOCALLY_SOLVED,-1
"(10, 13)",LOCALLY_SOLVED,-1
"(5, 6)",LOCALLY_SOLVED,-1
"(6, 11)",LOCALLY_SOLVED,-1
"(15, 16)",LOCALLY_SOLVED,-1
"(3, 18)",LOCALLY_SOLVED,-1
"(8, 9)",LOCALLY_SOLVED,-1
"(4, 5)",LOCALLY_SOLVED,-1
"(4, 14)",LOCALLY_SOLVED,-1
"(14, 15)",LOCALLY_SOLVED,-1
"(2, 25)",LOCALLY_SOLVED,-1
"(16, 19)",ITERATION_LIMIT,-1
"(6, 7)",LOCALLY_SOLVED,-1
"(7, 8)",LOCALLY_SOLVED,-1
"(9, 39)",LOCALLY_SOLVED,-1
"(10, 11)",LOCALLY_SOLVED,-1
"(16, 17)",LOCALLY_SOLVED,-1
"(13, 14)",LOCALLY_SOLVED,-1
"(25, 26)",LOCALLY_SOLVED,-1
"(2, 3)",LOCALLY_SOLVED,-1
